Код поставщика;Альтернативный код поставщика;Название от поставщика;Описание от поставщика;Группа ETIM;Код класса ETIM;Статус поставщика;Первый уровень;Второй уровень;Третий уровень;Четвертый уровень;EF001622;EF004817;EF008153;EF005783;EF006533;EF005583;EF004822;EF004209;EF000321;EF007219;EF001758;EF000215;EF008279;EF000767;EF002391;EF003566;EF008160;EF001457;EF000141;EF004588;EF004710;EF004184;EF000351;EF002677;EF003718;EF001454;EF004183;EF004201;EF000584;EF006645;EF007644;EF003563;EF000387;EF001391;EF004223;EF001148;EF004197;EF003649;EF005362;EF008798;EF007666;EF002390;EF004819;EF001225;EF022707;EF004220;EF008052;EF004203;EF004820;EF004331;EF005115;EF000063;EF006158;EF002566;EF004701;EF007771;EF021180;EF004707;EF000073;EF005176;EF007839;EF004421;EF004211;EF000041;EF006004;EF001053;EF007606;EF000228;EF002356;EF004562;EF004195;EF001590;EF004180;EF006516;EF008799;EF000586;EF001228;EF004969;EF006521;EF008118;EF004204;EF004221;EF001058;EF007611;EF000064;EF008280;EF008141;EF000065;EF001389;EF006159;EF002392;EF001052;EF004200;EF006528;EF008728;EF005114;EF005175;EF007838;EF000880;EF001366;EF006418;EF000386;EF006600;EF001438;EF000569;EF006596;EF004565;EF005261;EF000551;EF004255;EF005431;EF000085;EF003462;EF004166;EF009129;EF023498;EF004219;EF004818;EF023769;EF000557;EF003712;EF004205;EF008307;EF003525;EF005654;EF005210;EF007356;EF020423;EF004593;EF008339;EF004903;EF008021;EF007241;EF005462;EF004186;EF006530;EF005609;EF003671;EF004620;EF005067;EF000030;EF009126;EF004185;EF008706;EF001261;EF005214;EF005416;EF006437;EF004778;EF006585;EF000012;EF004563;EF000384;EF005691;EF005742;EF023496;EF007637;EF008150;EF004498;EF004187;EF009130;EF009909;EF001745;EF005902;EF001260;EF007504;EF007612;EF000051;EF000443;EF008020;EF007220;EF000019;EF005496;EF000422;EF004793;EF007789;EF003593;EF000101;EF009132;EF003520;EF004257;EF000013;EF004471;EF005247;EF004194;EF004192;EF004256;EF012132;EF009563;EF000115;EF009131;EF023501;EF006319;EF005059;EF023768;EF000125;EF008022;EF005163;EF004168;EF001122;EF007258;EF006391;EF004611;EF008099;EF006243;EF000007;EF005056;EF004251;EF009133;EF000879;EF007607;EF008276;EF008705;EF012523;EF006527;EF001039;EF005434;EF003523;EF012397;EF006354;EF001060;EF023499;EF003715;EF001055;EF004233;EF005644;EF006392;EF000003;EF008015;EF003961;EF003788;EF005165;EF000649;EF007260;EF005212;EF007806;EF000609;EF008278;EF002169;EF007673;EF008498;EF004545;EF007598;EF005058;EF004374;EF005436;EF009134;EF004254;EF012529;EF005728;EF008277;EF005825;EF012524;EF001056;EF005179;EF005660;EF000167;EF007857;EF000881;EF006110;EF007623;EF000177;EF004234;EF005913;EF006393;EF001076;EF021547;EF005729;EF012535;EF007872;EF001347;EF006059;EF004193;EF000010;EF007242;EF001259;EF012269;EF000040;EF004178;EF000139;EF000129;EF000368;EF004208;EF012530;EF002526;EF008404;EF006220;EF012525;EF004376;EF001227;EF002916;EF007968;EF004222;EF000385;EF004215;EF012396;EF002918;EF012503;EF000681;EF005076;EF005448;EF007092;EF004713;EF000008;EF005166;EF012277;EF007871;EF004739;EF004241;EF004177;EF004907;EF007821;EF001210;EF008250;EF025279;EF002645;EF002527;EF007645;EF006302;EF004232;EF008049;EF005786;EF012526;EF005821;EF023676;EF009637;EF004237;EF005172;EF012609;EF004714;EF000049;EF009773;EF006397;EF004182;EF004408;EF004179;EF020055;EF007600;EF000084;EF012273;EF008219;EF008050;EF005797;EF004147;EF002393;EF006235;EF003460;EF001632;EF000421;EF001067;EF005173;EF002102;EF007218;EF005269;EF008185;EF009106;EF000996;EF004499;EF009774;EF005142;EF007571;EF004171;EF002442;EF005266;EF001346;EF007640;EF000083;EF012620;EF003680;EF007217;EF005174;EF004015;EF006534;EF009144;EF005604;EF007927;EF005164;EF005140;EF006529;EF000116;EF004172;EF004191;EF004685;EF006359;EF005852;EF012268;EF007799;EF011542;EF007636;EF001779;EF004214;EF023677;EF004198;EF003681;EF006535;EF002993;RF000186;EF005143;EF008795;EF004175;EF005124;EF001743;EF007543;EF007648;EF004216;EF009518;RF000032;EF004777;EF003682;EF001744;EF007584;EF007965;EF005268;EF004438;EF004173;EF001205;EF002519;EF005492;EF000571;EF009760;EF012267;EF005579;EF003683;EF007357;EF008800;EF004236;EF006169;EF008326;EF007661;EF005474;EF006388;EF001257;EF000024;EF005466;EF004174;EF004571;EF000022;EF007653;EF002521;EF007562;EF009638;EF003684;EF007610;EF008796;EF007050;EF001613;EF004176;EF000001;EF001746;EF002522;EF005427;EF009639;EF003685;EF000015;EF008827;EF001759;EF007585;EF007341;EF012180;EF004815;EF004253;RF000041;EF002523;EF005195;EF004231;EF006025;EF007615;EF005428;EF003686;EF002782;EF008828;EF007339;EF004227;EF000002;EF000878;EF008797;EF007633;EF004162;EF007909;EF004181;EF004586;EF004230;EF008107;EF007337;EF004826;EF004252;EF004228;EF007627;EF004161;EF008105;EF004229;EF007933;EF007343;EF005957;EF004226;EF002525;EF004163;EF009926;EF008144;EF008093;EF000734;EF007609;EF007856;EF012513;EF012514;EF009927;EF001772;EF005049;EF001621;EF007642;EF009928;EF003655;EF005032;EF007603;EF000025;EF001062;EF012504;EF007597;EF009929;EF001784;EF005004;EF009416;EF009933;EF003656;EF007608;EF001217;EF000416;EF009930;EF003657;EF007976;EF005337;EF009931;EF003658;EF001742;EF009932;EF001789;EF012570;EF008145;EF012571;EF012276;EF009643;EF012547;EF009644;EF012627;EF012184;EF012274;EF009689;RF000040;EF009797;EF009476;EF011959;EF009477;EF009798;EF012275;EF009212;EF011401
;;;;;;;;;;;Материал проводника;Ширина лестничного лотка;Угол;Подходит для метрической резьбы (М..);Изоляционный (ая);Количество позиций/положений;Высота кабельного лотка;Длина/высота;Соединение 1;Ширина шинопровода;Тип резьбы;Тип компонента/запасной части;Материал прокладки проводника;Конструктивное исполнение;Диапазон зажима;Подходит для болтов с метрическим размером (М.);Ширина ленты;Форма просечки (отверстия);Тип соединителя;Ширина крышки;Подходит для каналов шириной;Монтажная планка;Количество фаз;Расстояние от центра отверстия;С наруж. резьбой;Пломбируемый (-ая);Тип монтажа проводника;Диапазон зажима;Количество зажимов (подключаемых проводников);Ширина головки;Количество стержней заземления;Метрический размер резьбы (М..);Подходит для количества кабелей NYM 3 x 1.5;Количество полюсов;Конфигурация системы;Количество проводников (без заземления);Подходит для соединения;Метрический размер болта (М..);Высота перегородки;Номин. напряжение перемен. тока (AC);Тип бокового профиля;Подходит для труб диаметром;Ширина кабельного лотка;Макс. количество труб;Левосторонняя резьба;Номин. напряжение перемен. тока (AC);Самоклеящ-ся/амальгамирующая;Диапазон зажима в дюймах;Ширина кабельного лотка;Сечение в месте соединения (диапазон);Номин. размер PG;Длина ленты;Ширина профиля;Конструктивный размер (габарит);Для 3 одножильных кабелей;Вместимость;Подходит для монтажа на потолке;Подходит для макс. высоты канала ;Подходит для:;Высота пластины;Номин. размер резьбы метрической M/PG;Количество кабелей/труб;Диаметр проводника;Назначение/область применения;С ограничителем;Монтажная толщина (прикрепляемого материала);Количество клеммных колодок заземления;Номин. напряжение;Диаметр кабеля;Диаметр высверливаемого отверстия;Подходит под диаметр круглого проводника;Состоит из двух частей;Ввод проводника молниеотвода;Раздвижная рукоятка;Номин. напряжение постоян. тока (DC);Тип профиля;Закрытого типа (закрывающ-ся);Макс. поперечное сечение проводника;Симметричная модель;Материал изоляции;Диапазон (диаметр) зажима круглого проводника;Номин. напряжение постоян. тока (DC);Отклонение (угол);Количество хомутов трубопроводов заземления;Тип соединения;Изолирующая секция;Требуются аксессуары;Внутр. диаметр;Номин. продолжительный ток Iu;Высота профиля;Диапазон зажима;Макс. количество кабелей;Изолятор;Срок хранения в месяцах;Подходит для установки на кронштейнах;Номин. диаметр;Ширина пластины;Номин. размер резьбы в дюймах NPT/резьбы газовой трубы;Объем;Номин. напряжение изоляции Ui;Раздельный;Толщина материала;Пластмассовая оболочка;Длина;С индукцией размыкания;Толщина фланца;Ширина отверстия;Подходит для шурупа диаметром;Диаметр;Характеристики материала проводника;Угол дуги;Сечение проводника;Поперечн. сечение жесткого проводника (одно-/многопроволочного);Соединительный контакт;Макс. диаметр картриджа;Резьбовое соединение 1;Номин. ток нагрузки;Высота лестничного лотка (боковой стенки);Количество отверстий / слотов на сторону;Оснащение/комплектация;Шаг резьбы;Диапазон (ширина) зажима плоского проводника;Фиксация ступени;Уровень защиты по напряжению;Длина болта;Изменение направления;Макс. допустимый ток Ie;Исполнение изгиба;Диапазон герметизации;Подходит для лотка шириной;Комплект поставки;Диаметр продукта;Подходит для количества подключаемых устройств;Номинальный размер в дюймах;Монтажное отверстие;Материал зажима;Ширина покрытия ;Утверждена горнодобывающим промышленным сектором;Диаметр (диапазон);С винтовыми аксессуарами;Функционал. назначение/применение;Горючий;Тип крепления держателя;Качество покрытия поверхности;С пружиной;Диаметр трубы/кабеля;Материал дюбеля;Полированная поверхность;Высота отверстия;С рычажком (-ами);Форма головки;Глубина высверливаемого отверстия;Мин. глубина высверленного отверстия;Непрерывная резьба;Ширина отверстия;Размер резьбового соединения 1 (дюйм);Количество круглых проводников/ проводов молниеотвода;Монтажная перфорация;Классификация по AWG (Американская классификация проводов);Диаметр соединительной пластины;Макс. длина картриджа;Емкость картриджа;Материал обшивки;В рельсе;Материал втулки (гильзы);Размер шага;Количество молниеотводов;Форма;Присоединение;Ширина продукта;Толщина шины (шинопровода);Изолированн.;Для трубы диаметром;С контактом дистанционной сигнализации;Внутр. радиус;Для стенки толщиной;Количество вводов;Область применения;Не содержит (без) свинца;Поперечное сечение подключаемых проводников;Биметаллический наконечник;Система завинчивания / тип шлица;Огнеупорное исполнение;Ширина прореза/щели;Тип стержня;Удаленный сигнал;Покрытие материала;Число витков резьбы на дюйм;Материал наконечника;Перфорированный (-ая);Пистолет для пенополиуритановой пены;Резьбовое соединение 2;Самоконтрящ-ся (с защитой от саморазвинчивания);С гайкой;На рельсе;Толщина;Высота продукта;Подходит для проволочного лотка;Соединительное отверстие;Перфорированная боковая стенка;Для провода круглого сечения;Подходит для лотка высотой;Класс прочности стяжки;Стойкость к УФ-излучению согл. ASTM D6779;Прозрачный;Цвет;С пластиковым лотком;Материал крепления;Не содержит (без) хроматов;Количество проводников;Количество вставных проводников заземления молниеотвода;Материал седловидной скобы;Шлифованная/сатинированная поверхность;Диаметр круглого проводника 1;Винтовой гвоздь в комплекте;Предварительная штамповка;Угол;Количество жил;Диаметр стержня заземления;Подходит для бетона;Тип ступени;Размер резьбового соединения в дюймах 2;Размер резьбы в дюймах;Перфорация;Уровень защиты напряжения жила/жила;Тип крепежа в комплекте;Горизонт.-поворотный/шарнирный;Способ монтажа;Толщина плиты/длина изделия;Тип подключения;Температуростойкость;Подходит для лестничного лотка;Поперечное сечение;Для провода сегметного сечения;Крепление лотка;Подходит для обеспеч. целостности цепи (огнестойкость);Тип крепежных элементов;Общ. количество соединений круглого проводника;Материал;Замок ленточного хомута;Проверено на взрывобезопасность по версии Ex e;Перфорация в основании для монтажа;Количество кровельных креплений проводника молниеотвода;С металлическим лотком;Тип соединения частей конструкции;Устойчивый к атмосферным воздействиям;Быстрая сушка;Материал носителя/ основы;Мин. диапазон зажима в дюймах;Для взрывоопасной зоны по газу (Ex);Материал основания;Подходит для крепления монтажной рейки/ шины;Ширина плоского проводника 1;Форма штифта/гвоздя;Форма профиля;Прочность (сопротивление) при изгибе;Вес;Исполнение в высоковольтной изоляции;Экранированный;Направление перфорированных отверстий;Количество креплений проводника молниеотвода;Размер ключа;Уровень защиты напряжения жила/земля;С пломбой;Вертикал.-поворотный/шарнирный;Шарнирный (-ая);Макс. растягивающая нагрузка;С фланцем;Диаметр заземлителя;Объем (емкость) ведра/мешка;Прочность при сжатии;NATO монтажные отверстия;Способность гашения остаточного тока;Модель/исполнение;Для провода плоской формы;Фаска;Диаметр стержня;Высота;Количество соединений круглого проводника 8 мм;Защитное покрытие поверхности;Маркировочная площадка;Длина резьбы;Длина каркаса;Макс. диапазон зажима в дюймах;Тип электрич. соединения 1;Для взрывоопасной зоны по пыли (Ex);С буртиком;Диаметр круглого проводника 2;Соединительная метрическая резьба;С анкером/дюбелем;Подходит для одножильного провода;С выравниванием потенциалов;Мощность погашения тока;С винтом/шурупом;Суммарный ток разряда (8/20) (L+N+PE);Поперечный профиль;Несущая способность;Изгибающий момент в сечении Wy;Самозатухающий (-ая);С шайбой;Выдергивающая нагрузка;Ширина зажима;Для метрической трубы;Ширина;Подходит для (листового) кабельного лотка;Диапазон зажима кабеля;Объем банки/картриджа;Закаленный (-ая);Сигнал на устройстве;Количество соединений круглого проводника 10 мм;Разъемный замок (многоразовый хомут);С огнезащитой;Армированный стекловолокном;Номин. ток In;Подходит для окрашивания;Регулируемый шарнир;Тип электрич. соединения 2;Количество креплений стержня молниеотвода;Для трубы с номин. диаметром;Диапазон зажима трубы;Уровень защиты напряжения жила/земля сигнала;Подходит для газобетона;Ширина плоского проводника 2;Подходит для многожильного провода;Размер резьбового соединения 1;Внешний диаметр изолированного проводника;Уровень защиты по напряжению L-PE/N-PE;Диаметр перфорации;Подходит для защитных шлангов;Для PG трубы;Глубина;Внутренний диаметр изделия;Исполнение для больших расстояний (усиленный);Тип (исполнение) полюсов;Количество постоянных перегородок/разделителей;Количество соединений круглого проводника 8-10 мм;Эксцентриковый;Количество прокладок под проводник молниеотвода;Ударопрочный;Допустимая нагрузка по току молнии (10/350 µs);Позиция соединения;Уровень защиты напряжения земля сигнала/защитное заземление;"Подходит под винт с квадрат./шестигран. головкой (""глухарь"")";Тип перфорации;Рабочая температура;Допустимая полезная нагрузка;Попереч. сечение гибкого проводника (многопроволочного) с кабельным наконечником;Класс проводника;Импульсный ток молнии (10/350);Двусторонняя (-ий);Ширина перфорации;Капля-стоп (drip-stop);Подходит для устройств с N-проводником;Самосверлящий;Расстояние между ступеньками/ поперечинами;Полная резьба;Регулируемый (ая);Толщина ленты;Внешний диаметр изделия;Поверхность зажима;С отступом от стены;Количество соединений плоского проводника 30 мм;Тип крепления;Защитная пленка;С раструбом;Количество защитных/изолирующих от искр прокладок молниеотвода;Гибкий (-ая);Вид/ марка материала проводника;Монтаж скрытый (под штукатурку);Подходит для аппаратов с вспомогат. выключателем (доп. контактом);Длина перфорации;Предельная частота;Подходит для высокого напряжения;Корончатая гайка;Ввод с тыльной стороны;Макс. диаметр обхвата (пучка);Подходит для толщины проволоки проволочного лотка;Полезное сечение;Материал винта;Номер цвета RAL;Количество соединений плоского проводника 40 мм;Взрывобезопасное исполнение;Кабельный ввод для плоского кабеля;Подходит для силикатного кирпича;Подходит для гибкого провода;Подходит для плоского проводника шириной;Подходит для крепления кабельными стяжками;Размер резьбы 2-е соединение (метрическое);Количество зажимов трубчатого заземления молниеотвода;Подходит для взрывоопасных сред;Номин. сброс импульсного тока (8/20);Размер резьбового соединения 2;Макс. длительное напряжение перемен. тока АС;Монтаж на поверхность (открытый);Вулканизированная;Номин. импульсное напряжение;Подходит для монтажа кабеленесущих систем;Защитное покрытие поверхности винта;Макс. фотоэлектрич. напряжение;Количество соединений проводника до 6 мм;Номин. поперечное сечение (диапазон);Класс воспламеняемости по стандарту UL94;Материал изоляции корпуса;Количество разъединительных зажимов для молниеотвода;Номин. ток разряда (8/20) (L-N);Светоотражающая (флуоресцентная);С контактной пастой;Макс. длительное напряжение постоян. тока DC;Подходит для установки в бетон;Радиус изгиба (статический);Количество соединительных зажимов для молниеотвода;С крышкой;Размер шестигранника (наруж. диаметр гайки);Количество направляющих для установки дополнит. разделителей;Количество соединений проводника до 16 мм;Диаметр трубки/трубы;Количество зажимов на 1 полюс;Расстояние от стены;С системой зубьев (зубчатым зацеплением);Со смотровым отверстием и крышкой;Монтажная высота держателя провода;Количество строк перфорации;Для установки в машины и механизмы;Макс. допустимое раб. напряжение Ue;Предупредительный контроль температуры;Уровень защиты по напряжению L-N;Подходит для сборок (наборный);Температура монтажа;Тип ввода в корпус;Степень защиты (IP);Нержавеющая сталь травлёная;Вид/ марка материала;Устойчивость к УФ-излучению;Подходит для кабеля диаметром:;Количество соединений проводника до 25 мм;Предельная нагрузка;Маслостойкость;Количество соединителей молниеотвода;Класс воспламеняемости изоляц. материала согл. UL94;Возможность отламывания отрезков;Макс. эквивалентное расстояние разделения s (в воздухе);Подходит для подземной установки (битум, горячий асфальт);Количество заземляющих пластин;Уровень защиты по напряжению N-PE;Номин. кратковременно выдерживаемый ток Icw;Сохранение работоспособности (целостность цепи);Количество соединений проводника до 95 мм;Номин. ток;Распространяет горение;Ширина/размер ячейки;Момент сопротивления LY ;Макс. эквивалентное расстояние разделения s (твердые строительные материалы);Подходит для скрытой установки (в стяжку);Наруж. диаметр;Макс. сечение жесткого проводника (одно-/многожильного);Материал уплотнения;Количество соединительных зажимов для стержней заземления;Поперечн. сечение подключ. тонкопроволочного провода без наконечника;С внутренней резьбой;С фиксатором для кабеля;Материал направляющей контакта;Удаляемый/съемный (-ая);Высота (на мин. возможной высоте установки);Радиус;Тип категории 3;С фильтром подавления помех;Количество плоских полос для молниеотвода;Момент сопротивления LZ ;Наруж. установка (уличная);Прочность на разрыв;Макс. сечение гибкого проводника (тонкопроволочного);Поперечн. сечение подключ. тонкопроволочного провода с наконечником;Поверхность направляющей контакта;Номин. напряжение;С разгрузкой натяжения;Встроенный резервный предохранитель;Количество равнопотенциальных контактных шин;Установка на деревянную поверхность;С продольным разрезом/щелью;Выпуск воздуха;Крепление крышки;Категория тип 2;Соотв. стандарту VG;Поперечн. сечение подключ. однопроволочного (жесткого) провода;С канальным соединителем;Материал зажима;Категория;Количество металлических кабелей;Установка в полых стенах;Закрывающаяся (из двух частей);Тип категории 1;Соотв. стандарту MIL;Поперечн. сечение подключ. многопроволочного (гибкого) провода;Поставляется на катушке/в рулоне;Поверхность зажима;Требуется торцевая пластина;Установка в земле;Конфигурация системы DC;Утвержд. в соотв. с DIN EN 61386-23;Соотв. стандарту UL (Underwriters Laboratories , США);Защита по радиусу изгиба (от перегиба);Количество фиксированных колодок заземления;Гладкое внутр. покрытие;Момент инерции сечения относительно оси ly;Момент инерции поперечного сечения оси Iz;Конфигурация системы IT;Утвержд. в соотв. с UR;С контргайкой;Диаметр проводника;Количество оснований под молниеотводы;Конфигурация системы TN;Утвержд. в соотв. с Vd T2V/GGVS;С экранированием;Количество инструментов для ввода заземляющих стержней;Не содержит (без) галогенов;EMC-исполнение (электромагнитная совместимость);Изгибающий момент в сечении Wz;Количество зажимов С типа для круглых проводов;Конфигурация системы TN-C;Утвержд. в соотв. с CSA;Многослойная зона уплотнения;С протяжкой (зондом);Конфигурация системы TN-C-S;Утвержд. в соотв. с LUL/Британский стандарт;Количество муфт заземления;Тип уплотнения;Частота;Конфигурация системы TN-S;Утвержд. в соотв. с Регистром Ллойда TA;С аксессуарами;Разъемный/разделяемый сальник;Конфигурация системы TT;Утвержд. в соотв. с UTAC;Рабочая температура;Другая конфигурация системы;Утвержд. в соотв. с DIN 5510;Монтаж в почву;Утвержд. в соотв. с NF F 16-101;Монтаж под водой;Уровень защиты по напряжению L-PE;Уровень защиты по напряжению (DC+ - DC-);Крепление без контргайки;Уровень защиты по напряжению (DC+/DC- - PE);Отключающая способность при коротком замыкании (Isccr);Для бронированного кабеля;Максимальный импульсный ток разряда (8/20);Радиус изгиба, динамический;Тип изделия/компонента;Удельная энергия (W / R);Литьевой (-ая);Степень защиты (NEMA);Литейный компаунд  в комплекте;Энергосогласованная защита конечного устройства;Общий ток разряда (8/20) (L1 + L2 + L3 + N-PE);Тип крышки;Прозрачная крышка
;;;;;;;;;;;;мм;°;;;;мм;мм;;мм;;;;;мм;;мм;;;мм;мм;;;мм;;;;мм;;мм;;;;;;;;;мм;В;;мм;мм;;;В;;;мм;мм2;;мм;мм;;мм;мл;;мм;;мм;;;мм;;;мм;;В;мм;мм;мм;;;;В;;;мм2;;;мм;В;;;;мм;;мм;А;мм;мм;;;;;мм;мм;;мл;В;;мм;;мм;;мм;мм;мм;мм;;°;мм2;мм2;мм;мм;;А;мм;;;мм;;;кВ ;мм;;А;;мм;мм;;мм;;;мм;;мм;;мм;;;;;;;мм;;;мм;;;мм;мм;;мм;;;;;мм;мм;мл;;;;мм;;;;мм;мм;;;;мм;мм;;;;мм2;;;;мм;;;;;;;;;;;;мм;мм;;мм;;;мм;;;;;;;;;;;;мм;;;°;;мм;;;;;;В;;;;мм;;°C;;мм2;;;;;;;;;;;;;;;;;;;;мм;;;;г;;;;;мм;В;;;;Н;;мм;кг;Н;;Ка;;;;мм;мм;;;;мм;мм;;;;;мм;;;;;кА;;кА;;Кн;мм2;;;Кн;мм;мм;мм;;мм2;мл;;;;;;;А;;;;;мм;мм;В;;мм;;;мм;кВ;мм;;;мм;мм;;;;;;;;кА;;В;;;°C;кг/Н;мм2;;кА;;мм;;;;мм;;;мм;мм;;;;;;;;;;;;мм;МГц;;;;мм;мм;мм2;;;;;;;;мм;;;;;кА;;В;;;кВ;;;В;;мм2;;;;кА;;;В;;мм;;;мм;;;мм;;мм;;;мм;;;В;;кВ;;°C;;;;;;мм;;Кн;;;;;м;;;кВ;кА;;;А;;мм;см4;м;;мм;мм2;;;мм2;;;;;мм;мм;;;;см4;;Н;мм2;мм2;;В;;;;;;;;;;мм2;;;;;;;;;мм2;;;;;;;;;;;см4;см4;;;;мм;;;;;;;;см2;;;;;;;;;;МГц;;;;;;;°C;;;;;;кВ;кВ;;кВ;кА;;кА;мм;;кДж/Ом;;;;;кА;;
7119313;RT 130 FT;Секция Т-образная RT 130 FT, для листовых лотков, h=110 мм, B=300 мм, сталь, горячий цинк;T-образная секция, горизонтальная, для кабельных листовых лотков;EG000004;EC001544;Z;КАБЕЛЕНЕСУЩИЕ СИСТЕМЫ;Листовые лотки;Фасонные секции и крышки;Секция T;;;;;;;110;;;;;;;Тройник горизонтальный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет (без);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;;;Сталь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;;С соединит. разъемом в комплекте;;;;;;Горячее цинкование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;Сталь оцинкованная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007303;T 350 OE;Распределительная коробка T350, 285x201x120 мм, сплошная стенка;Закрытая кабельная распределительная коробка для соединения кабелей и проводов в помещении и в защищенных зонах вне помещения. Прямоугольная форма без вводов. Подходит для настенного и потолочного монтажа и установки на монтажных листах и для резьбы на дне. С возможностью для внутреннего закрепления и монтажом поверх угловых колпаков. Крышка с быстроразъемным соединением может быть опломбирована. Изготовлено из материалов, не содержащих галогены.  Кабельная распределительная коробка согласно DIN EN 60670. Огнестойкость согласно DIN EN 60695-2-11, температура испытания 650°C. Ударопрочность IK05 согласно DIN EN 50102.;EG000048;EC002600;Z;СИСТЕМЫ КРЕПЛЕНИЯ И МОНТАЖА;Коробки электромонтажные ;Коробки ответвительные универсальные;-;;;;;;;;;;;;;;;;;;;;;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;500;;;;285;;;;;-;;;;;;;;;;;Нет (без);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Прямоугольн.;;;;;-;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Серый;;;;;;;;;;;;;;;;;;;;;;Настенно-потолочное крепление;;;;;;;;;;;Пластик;;;;;;;false;;;;Нет (без);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Необработанная;;;;;;Нет (без);;;;;;;;;;;;;;;;;;201;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;;;;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;true;;-;IP66;;;;;;;;;;;;;;;;Нет (без);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Винтовое ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;;true;;;;;;;;;;;;;;;;;;;-5...60;;;false;;false;;;;;;;;;;;false;-;false;;;-;false
7070225;SSLB 500 FS;Пластина донная SSLB 500 FS, для листового лотка, B=500 мм, сталь, конвейерный цинк;Широкие стыковые планки для листовых кабельных лотков и кабельных лотков для больших расстояний.;EG000004;EC002413;Z;КАБЕЛЕНЕСУЩИЕ СИСТЕМЫ;Листовые лотки;Монтажные элементы;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Винтовой разъем;;;;;;;;;;;;;;;;;1,5;;500;;;;;;;;;;;;;;;;;;;;;;;;;;500...500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;;;;-;;;;Нет (без);;;;;;;;;;;;;;;;;;;;;false;;;;;false;;;;false;;;Сталь;;;;;;;;;;;;;;;;;;;;;;;;;;false;;;;;;;;;Соединительная накладка на стык основания лотка;;;;4;;Оцинковка горячим способом по методу Сендзимира;;;;;;;;;;;;;;;;;;;;;;;;500;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-...-;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;Сталь оцинкованная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
